ID,Deskripsi Produk,Merek,Kategori,Harga Sewa,Preferensi Pengguna,Jumlah Stok
262,Proyektor Mini HD Anker Nebula Capsule,Anker,Proyektor,500000," Kualitas Gambar Tinggi,Portabel",5
263,Speaker Portable Sony SRS-XB32,Sony,Speaker,350000," Suara Bass Tinggi,Portabel",6
264,PlayStation Classic,Sony,Playstation,300000," Nostalgia,Gaming",7
265,Tenda Camping 6 Orang,Bestway,Tenda,180000," Mudah Dipasang,Nyaman",6
266,Sepatu Sneakers Puma,Puma,Sepatu,350000," Nyaman,Stylish",6
267,Matras Angin Tidur Double,Intex,Matras,250000," Tahan Lama,Nyaman",5
268,Tas Selempang Chanel,Chanel,Tas,1500000," Desain Klasik,Mewah",4
269,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Kamera,1800000," Kualitas Tinggi,Fotografi",3
270,Speaker Bluetooth JBL Xtreme 2,JBL,Speaker,1000000," Suara Bass Tinggi,Portabel",5
271,Proyektor HD Optoma HD146X,Optoma,Proyektor,1200000," Terang,Kualitas Gambar Tinggi",3
272,PlayStation 3 Slim,Sony,Playstation,300000," Nostalgia,Gaming",6
273,Tenda Camping 4 Orang,Coleman,Tenda,150000," Mudah Dipasang,Nyaman",5
274,Sepatu Running Nike Air Max,Nike,Sepatu,700000," Dukungan Kaki,Nyaman",5
275,Matras Angin Tidur Single,Bestway,Matras,100000," Mudah Digunakan,Nyaman",6
276,Tas Selempang Louis Vuitton,Louis Vuitton,Tas,2000000," Desain Elegan,Mewah",3
277,Kamera DSLR Canon EOS 5D Mark IV,Canon,Kamera,2000000," Kualitas Tinggi,Fotografi",2
278,Speaker Bluetooth Bose SoundLink Micro,Bose,Speaker,400000," Suara Kualitas Tinggi,Portabel",6
279,Proyektor HD Epson EH-TW650,Epson,Proyektor,900000," Terang,Kualitas Gambar Tinggi",4
280,PlayStation 4,Sony,Playstation,250000," Kualitas Grafis Tinggi,Gaming",7
281,Tenda Camping 8 Orang,Coleman,Tenda,200000," Mudah Dipasang,Nyaman",6
282,Sepatu Sneakers Reebok,Reebok,Sepatu,400000," Nyaman,Stylish",7
283,Matras Angin Tidur Queen,Intex,Matras,250000," Tahan Lama,Nyaman",5
284,Tas Selempang Gucci,Gucci,Tas,1500000," Desain Klasik,Mewah",4
285,Kamera Mirrorless Sony Alpha A7R III,Sony,Kamera,2500000," Kualitas Tinggi,Fotografi",3
286,Speaker Bluetooth JBL Pulse 4,JBL,Speaker,700000," Suara Bass Tinggi,Portabel",5
287,Proyektor Mini HD Apeman LC350,Apeman,Proyektor,300000," Kualitas Gambar Tinggi,Portabel",6
288,Speaker Portable Sony SRS-XB31,Sony,Speaker,300000," Suara Kualitas Tinggi,Portabel",7
289,PlayStation 2 Slim,Sony,Playstation,150000," Nostalgia,Gaming",8
290,Tenda Camping 6 Orang,Bestway,Tenda,180000," Mudah Dipasang,Nyaman",6
291,Sepatu Casual,Nike,Sepatu,300000," Stylish,Nyaman",7
292,Matras Angin Tidur Double,King Koil,Matras,200000," Tahan Lama,Nyaman",5
293,Tas Selempang Polo,Ralph Lauren,Tas,400000," Desain Klasik,Tahan Lama",6
294,Kamera Mirrorless Sony Alpha A6000,Sony,Kamera,800000," Kualitas Tinggi,Fotografi",4
295,Speaker Bluetooth JBL Go,JBL,Speaker,100000," Suara Jernih,Portabel",8
296,Proyektor HD LG CineBeam PH150G,LG,Proyektor,700000," Kualitas Gambar Tinggi,Portabel",6
297,Speaker Portable Sony SRS-XB12,Sony,Speaker,200000," Suara Kualitas Tinggi,Portabel",7
298,PlayStation 2 Slim,Sony,Playstation,150000," Nostalgia,Gaming",8
299,Tenda Camping 8 Orang,Coleman,Tenda,200000," Mudah Dipasang,Nyaman",5
300,Sepatu Running Nike Air Zoom Pegasus,Nike,Sepatu,500000," Dukungan Kaki,Nyaman",7
301,Kamera Mirrorless Canon EOS M50,Canon,Kamera,1000000," Kualitas Tinggi,Fotografi",4
302,Speaker Bluetooth Sony SRS-XB41,Sony,Speaker,600000," Suara Bass Tinggi,Portabel",5
303,Proyektor Mini HD RAGU Z498,RAGU,Proyektor,500000," Kualitas Gambar Tinggi,Portabel",6
304,PlayStation 4 Slim,Sony,Playstation,300000," Kualitas Grafis Tinggi,Gaming",7
305,Tenda Camping 6 Orang,Bestway,Tenda,200000," Mudah Dipasang,Nyaman",8
306,Sepatu Sneakers Nike Air Force,Nike,Sepatu,500000," Nyaman,Stylish",7
307,Matras Angin Tidur Single,Intex,Matras,150000," Mudah Digunakan,Nyaman",6
308,Tas Selempang Burberry,Burberry,Tas,800000," Desain Klasik,Mewah",5
309,Kamera DSLR Nikon D850,Nikon,Kamera,2000000," Kualitas Tinggi,Fotografi",4
310,Speaker Bluetooth JBL Charge 4,JBL,Speaker,800000," Suara Bass Tinggi,Portabel",5
311,Proyektor HD BenQ TH685,BenQ,Proyektor,1500000," Terang,Kualitas Gambar Tinggi",3
312,PlayStation 3 Fat,Sony,Playstation,200000," Nostalgia,Gaming",6
313,Tenda Camping 4 Orang,Coleman,Tenda,150000," Mudah Dipasang,Nyaman",5
314,Sepatu Running Adidas Ultraboost,Adidas,Sepatu,800000," Dukungan Kaki,Nyaman",6
315,Matras Angin Tidur Queen,Intex,Matras,300000," Tahan Lama,Nyaman",7
316,Tas Selempang Louis Vuitton,Louis Vuitton,Tas,2000000," Desain Elegan,Mewah",4
317,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Kamera,1800000," Kualitas Tinggi,Fotografi",3
318,Speaker Bluetooth JBL Xtreme 2,JBL,Speaker,1000000," Suara Bass Tinggi,Portabel",5
319,Proyektor HD Optoma HD146X,Optoma,Proyektor,1200000," Terang,Kualitas Gambar Tinggi",3
320,PlayStation 2 Slim,Sony,Playstation,150000," Nostalgia,Gaming",6
321,Tenda Camping 8 Orang,Coleman,Tenda,200000," Mudah Dipasang,Nyaman",5
322,Sepatu Sneakers Nike Air Max,Nike,Sepatu,700000," Nyaman,Stylish",7
323,Matras Angin Tidur Single,Bestway,Matras,100000," Mudah Digunakan,Nyaman",8
324,Tas Selempang Gucci,Gucci,Tas,1500000," Desain Klasik,Mewah",6
325,Kamera DSLR Canon EOS 5D Mark IV,Canon,Kamera,2000000," Kualitas Tinggi,Fotografi",5
326,Speaker Bluetooth Bose SoundLink Micro,Bose,Speaker,400000," Suara Kualitas Tinggi,Portabel",7
327,Proyektor HD Epson EH-TW650,Epson,Proyektor,900000," Terang,Kualitas Gambar Tinggi",4
328,PlayStation 4,Sony,Playstation,250000," Kualitas Grafis Tinggi,Gaming",8
329,Tenda Camping 6 Orang,Bestway,Tenda,180000," Mudah Dipasang,Nyaman",6
330,Sepatu Casual,Nike,Sepatu,300000," Stylish,Nyaman",7
331,Matras Angin Tidur Double,King Koil,Matras,200000," Tahan Lama,Nyaman",6
332,Tas Selempang Polo,Ralph Lauren,Tas,400000," Desain Klasik,Tahan Lama",7
333,Kamera Mirrorless Sony Alpha A6000,Sony,Kamera,800000," Kualitas Tinggi,Fotografi",5
334,Speaker Bluetooth JBL Go,JBL,Speaker,100000," Suara Jernih,Portabel",8
335,Proyektor HD LG CineBeam PH150G,LG,Proyektor,700000," Kualitas Gambar Tinggi,Portabel",6
336,Speaker Portable Sony SRS-XB12,Sony,Speaker,200000," Suara Kualitas Tinggi,Portabel",7
337,PlayStation 2 Slim,Sony,Playstation,150000," Nostalgia,Gaming",8
338,Tenda Camping 8 Orang,Coleman,Tenda,200000," Mudah Dipasang,Nyaman",5
339,Sepatu Running Nike Air Zoom Pegasus,Nike,Sepatu,500000," Dukungan Kaki,Nyaman",7
340,Matras Angin Tidur Queen,Intex,Matras,300000," Tahan Lama,Nyaman",6
341,Tas Selempang Chanel,Chanel,Tas,1200000," Desain Klasik,Mewah",4
342,Kamera DSLR Nikon D7500,Nikon,Kamera,1000000," Kualitas Tinggi,Fotografi",5
343,Speaker Bluetooth Harman Kardon Onyx Studio,Harman Kardon,Speaker,800000," Suara Kualitas Tinggi,Portabel",6
344,Proyektor Mini HD Anker Nebula Capsule,Anker,Proyektor,500000," Kualitas Gambar Tinggi,Portabel",5
345,Speaker Portable Sony SRS-XB32,Sony,Speaker,350000," Suara Bass Tinggi,Portabel",7
346,PlayStation Classic,Sony,Playstation,300000," Nostalgia,Gaming",8
347,Tenda Camping 6 Orang,Bestway,Tenda,180000," Mudah Dipasang,Nyaman",6
348,Sepatu Running Adidas Ultraboost,Adidas,Sepatu,800000," Dukungan Kaki,Nyaman",7
349,Matras Angin Tidur Queen,Intex,Matras,300000," Tahan Lama,Nyaman",6
350,Tas Selempang Prada,Prada,Tas,1500000," Desain Elegan,Mewah",4
351,Kamera Mirrorless Fujifilm X-T3,Fujifilm,Kamera,1800000," Kualitas Tinggi,Fotografi",5
352,Speaker Bluetooth JBL Charge 3,JBL,Speaker,600000," Suara Bass Tinggi,Portabel",7
353,Proyektor HD BenQ TH585,BenQ,Proyektor,1000000," Terang,Kualitas Gambar Tinggi",4
354,PlayStation 3 Slim,Sony,Playstation,250000," Nostalgia,Gaming",8
355,Tenda Camping 4 Orang,Coleman,Tenda,150000," Mudah Dipasang,Nyaman",5
356,Sepatu Sneakers Nike Air Max,Nike,Sepatu,700000," Nyaman,Stylish",7
357,Matras Angin Tidur Single,Bestway,Matras,100000," Mudah Digunakan,Nyaman",8
358,Tas Selempang Louis Vuitton,Louis Vuitton,Tas,2000000," Desain Elegan,Mewah",4
359,Kamera DSLR Canon EOS 6D Mark II,Canon,Kamera,2500000," Kualitas Tinggi,Fotografi",4
360,Speaker Bluetooth Bose SoundLink Mini II,Bose,Speaker,900000," Suara Kualitas Tinggi,Portabel",6
361,Proyektor Mini HD Apeman LC550,Apeman,Proyektor,400000," Kualitas Gambar Tinggi,Portabel",6
362,PlayStation 4 Pro,Sony,Playstation,350000," Kualitas Grafis Tinggi,Gaming",7
363,Tenda Camping 8 Orang,Coleman,Tenda,200000," Mudah Dipasang,Nyaman",6
364,Sepatu Sneakers Converse,Converse,Sepatu,400000," Nyaman,Stylish",7
365,Matras Angin Tidur Double,King Koil,Matras,200000," Tahan Lama,Nyaman",6
366,Tas Selempang Coach,Coach,Tas,800000," Desain Klasik,Tahan Lama",6
367,Kamera Mirrorless Sony Alpha A7 III,Sony,Kamera,2800000," Kualitas Tinggi,Fotografi",4
368,Speaker Bluetooth JBL Clip 3,JBL,Speaker,300000," Suara Kualitas Tinggi,Portabel",7
369,Proyektor HD ViewSonic PX700HD,ViewSonic,Proyektor,1500000," Terang,Kualitas Gambar Tinggi",5
370,PlayStation 2 Slim,Sony,Playstation,150000," Nostalgia,Gaming",6
371,Tenda Camping 6 Orang,Bestway,Tenda,180000," Mudah Dipasang,Nyaman",6
372,Sepatu Running Nike Air Zoom Pegasus,Nike,Sepatu,500000," Dukungan Kaki,Nyaman",7
373,Matras Angin Tidur Queen,Intex,Matras,250000," Tahan Lama,Nyaman",6
374,Tas Selempang Gucci,Gucci,Tas,1500000," Desain Klasik,Mewah",4
375,Kamera Mirrorless Fujifilm X-T30,Fujifilm,Kamera,1500000," Kualitas Tinggi,Fotografi",5
376,Speaker Bluetooth JBL Flip 4,JBL,Speaker,700000," Suara Bass Tinggi,Portabel",6
377,Proyektor HD Epson EB-X05,Epson,Proyektor,800000," Terang,Kualitas Gambar Tinggi",5
378,PlayStation Vita,Sony,Playstation,200000," Portabel,Gaming",8
379,Tenda Camping 4 Orang,Coleman,Tenda,150000," Mudah Dipasang,Nyaman",5
380,Sepatu Sneakers Nike Air Force,Nike,Sepatu,500000," Nyaman,Stylish",7
381,Matras Angin Tidur Single,Bestway,Matras,100000," Mudah Digunakan,Nyaman",8
382,Tas Selempang Burberry,Burberry,Tas,800000," Desain Klasik,Mewah",5
383,Kamera DSLR Nikon D850,Nikon,Kamera,2000000," Kualitas Tinggi,Fotografi",4
384,Speaker Bluetooth JBL Charge 4,JBL,Speaker,800000," Suara Bass Tinggi,Portabel",5
385,Proyektor HD BenQ TH685,BenQ,Proyektor,1500000," Terang,Kualitas Gambar Tinggi",3
386,PlayStation 3 Fat,Sony,Playstation,200000," Nostalgia,Gaming",6
387,Tenda Camping 6 Orang,Bestway,Tenda,150000," Mudah Dipasang,Nyaman",5
388,Sepatu Sneakers Nike Air Max,Nike,Sepatu,700000," Nyaman,Stylish",7
389,Matras Angin Tidur Single,Intex,Matras,150000," Mudah Digunakan,Nyaman",6
390,Tas Selempang Gucci,Gucci,Tas,800000," Desain Klasik,Mewah",5
391,Kamera DSLR Nikon D7500,Nikon,Kamera,1000000," Kualitas Tinggi,Fotografi",4
392,Speaker Bluetooth JBL Xtreme 2,JBL,Speaker,1000000," Suara Bass Tinggi,Portabel",5
393,Proyektor HD Optoma HD146X,Optoma,Proyektor,1200000," Terang,Kualitas Gambar Tinggi",3
394,PlayStation 2 Slim,Sony,Playstation,150000," Nostalgia,Gaming",6
395,Tenda Camping 8 Orang,Coleman,Tenda,200000," Mudah Dipasang,Nyaman",5
396,Sepatu Sneakers Nike Air Max,Nike,Sepatu,700000," Nyaman,Stylish",7
397,Matras Angin Tidur Single,Bestway,Matras,100000," Mudah Digunakan,Nyaman",8
398,Tas Selempang Louis Vuitton,Louis Vuitton,Tas,2000000," Desain Elegan,Mewah",4
399,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Kamera,1800000," Kualitas Tinggi,Fotografi",3
400,Speaker Bluetooth JBL Charge 3,JBL,Speaker,600000," Suara Bass Tinggi,Portabel",7
401,Proyektor Mini,ViewSonic,Proyektor,300000,"Portabel, Kualitas Gambar Tinggi",5
402,Speaker Gaming Logitech,Logitech,Speaker,250000,"Suara Surround, Desain Gaming",6
403,PlayStation 5,Sony,Playstation,800000,"Gaming, Kualitas Grafis Tinggi",3
404,Tenda Camping 2 Orang,Coleman,Tenda,70000,"Kompak, Mudah Dipasang",9
405,Sepatu Sneakers,Nike,Sepatu,250000,"Stylish, Nyaman",6
406,Matras Angin Tidur King,Intex,Matras,300000,"Nyaman, Kuat",5
407,Tas Ransel Eiger,Eiger,Tas,200000,"Tahan Lama, Fungsional",7
408,Kamera Mirrorless Sony,Sony,Kamera,550000,"Fotografi, Kualitas Tinggi",4
409,Speaker Bluetooth Harman Kardon,Harman Kardon,Speaker,500000,"Suara Kualitas Premium, Desain Elegan",4
410,Proyektor HD,Optoma,Proyektor,400000,"Kualitas Gambar Tinggi, Fleksibel",7
411,Speaker Portable JBL Flip,JBL,Speaker,150000,"Portabel, Suara Jernih",8
412,PlayStation 4,Sony,Playstation,500000,"Gaming, Kualitas Grafis Tinggi",5
413,Tenda Camping 3 Orang,Coleman,Tenda,90000,"Nyaman, Mudah Dipasang",7
414,Sepatu Casual,Puma,Sepatu,180000,"Stylish, Nyaman",6
415,Matras Angin Tidur Single,Bestway,Matras,120000,"Nyaman, Mudah Digunakan",7
416,Tas Travel,Samsonite,Tas,300000,"Kapasitas Besar, Tahan Lama",5
417,Kamera Action GoPro,GoPro,Kamera,350000,"Video 4K, Tahan Air",6
418,Speaker Bluetooth Marshall,Marshall,Speaker,400000,"Suara Kualitas Tinggi, Desain Vintage",5
419,Proyektor Full HD,Epson,Proyektor,700000,"Kualitas Gambar Tinggi, Terang",3
420,Speaker Portable Sony SRS,Sony,Speaker,100000,"Portabel, Suara Jernih",9
421,PlayStation 3,Sony,Playstation,300000,"Gaming, Kualitas Grafis Tinggi",7
422,Tenda Camping 4 Orang,Bestway,Tenda,80000,"Nyaman, Mudah Dipasang",8
423,Sepatu Sandal,Puma,Sepatu,120000,"Stylish, Nyaman",7
424,Matras Angin Tidur Double,Intex,Matras,200000,"Nyaman, Kuat",6
425,Tas Messenger,Louis Vuitton,Tas,800000,"Eksklusif, Desain Mewah",4
426,Kamera DSLR Nikon,Nikon,Kamera,450000,"Fotografi, Kualitas Tinggi",6
427,Speaker Bluetooth JBL Flip,JBL,Speaker,200000,"Portabel, Suara Jernih",7
428,Proyektor 4K,LG,Proyektor,1200000,"Kualitas Gambar UHD, Terang",2
429,Speaker Portable Marshall,Marshall,Speaker,250000,"Portabel, Suara Kualitas Tinggi",6
430,PlayStation 2,Sony,Playstation,200000,"Gaming, Kualitas Grafis Tinggi",8
431,Tenda Camping 6 Orang,Bestway,Tenda,120000,"Nyaman, Mudah Dipasang",6
432,Sepatu Formal,Clarks,Sepatu,350000,"Elegan, Nyaman",5
433,Matras Angin Tidur Queen,Intex,Matras,250000,"Nyaman, Kuat",5
434,Tas Selempang,Coach,Tas,500000,"Tahan Lama, Desain Modern",5
435,Kamera Mirrorless Fujifilm,Fujifilm,Kamera,400000,"Fotografi, Kualitas Tinggi",6
436,Speaker Bluetooth Harman Kardon Onyx,Harman Kardon,Speaker,800000,"Suara Kualitas Premium, Desain Mewah",3
437,Proyektor Mini HD,XGIMI,Proyektor,400000,"Portabel, Kualitas Gambar Tinggi",7
438,Speaker Portable Bose,Bose,Speaker,350000,"Portabel, Suara Jernih",6
439,PlayStation 1,Sony,Playstation,100000,"Gaming, Nostalgia",9
440,Tenda Camping 8 Orang,Bestway,Tenda,150000,"Nyaman, Mudah Dipasang",6
441,Sepatu Boots,Dr. Martens,Sepatu,600000,"Tahan Lama, Gaya Punk",4
442,Matras Angin Tidur King,Intex,Matras,350000,"Nyaman, Kuat",4
443,Tas Tote,Hermes,Tas,1000000,"Mewah, Fungsional",3
444,Kamera Instax Mini,Fujifilm,Kamera,150000,"Instan, Gaya Retro",5
445,Speaker Bluetooth JBL Charge,JBL,Speaker,300000,"Portabel, Suara Kualitas Tinggi",7
446,Proyektor HD Xiaomi,Xiaomi,Proyektor,500000,"Kualitas Gambar Tinggi, Harga Terjangkau",5
447,Speaker Portable Sony XB,Sony,Speaker,200000,"Portabel, Suara Bass Tinggi",6
448,PlayStation Portable,Sony,Playstation,200000,"Gaming, Portabel",8
449,Tenda Camping 10 Orang,Bestway,Tenda,200000,"Nyaman, Mudah Dipasang",5
450,Sepatu Slip-On,Vans,Sepatu,250000,"Stylish, Nyaman",6
451,Matras Angin Tidur Single,Bestway,Matras,120000,"Nyaman, Mudah Digunakan",7
452,Tas Serut,Herschel,Tas,300000,"Kualitas Tinggi, Desain Klasik",6
453,Kamera Action Yi,Yi,Kamera,200000,"Video 4K, Harga Terjangkau",6
454,Speaker Bluetooth JBL Clip,JBL,Speaker,150000,"Portabel, Suara Jernih",8
455,Proyektor Full HD Acer,Acer,Proyektor,700000,"Kualitas Gambar Tinggi, Terang",4
456,Speaker Portable Ultimate Ears,Ultimate Ears,Speaker,400000,"Portabel, Suara Kualitas Tinggi",5
457,PlayStation Vita,Sony,Playstation,300000,"Gaming, Portabel",7
458,Tenda Camping 12 Orang,Bestway,Tenda,250000,"Nyaman, Mudah Dipasang",5
459,Sepatu High Heels,Jimmy Choo,Sepatu,800000,"Elegan, Stylish",4
460,Matras Angin Tidur Double,Intex,Matras,200000,"Nyaman, Kuat",6
461,Tas Ransel Laptop,Tumi,Tas,600000,"Tahan Lama, Fungsional",5
462,Kamera DSLR Canon,Canon,Kamera,550000,"Fotografi, Kualitas Tinggi",5
463,Speaker Bluetooth Sony XB,Sony,Speaker,300000,"Portabel, Suara Bass Tinggi",7
464,Proyektor Mini HD LG,LG,Proyektor,450000,"Portabel, Kualitas Gambar Tinggi",6
465,Speaker Portable JBL Pulse,JBL,Speaker,350000,"Portabel, Suara Kualitas Tinggi",6
466,PlayStation Classic,Sony,Playstation,250000,"Gaming, Nostalgia",7
467,Tenda Camping 4 Orang,Coleman,Tenda,120000,"Nyaman, Mudah Dipasang",8
468,Sepatu Sneakers,Adidas,Sepatu,300000,"Stylish, Nyaman",6
469,Matras Angin Tidur Single,Simmons,Matras,150000,"Nyaman, Mudah Digunakan",7
470,Tas Selempang Polo,Ralph Lauren,Tas,500000,"Tahan Lama, Desain Klasik",5
471,Kamera Mirrorless Olympus,Olympus,Kamera,450000,"Fotografi, Kualitas Tinggi",5
472,Speaker Bluetooth Bose SoundLink,Bose,Speaker,500000,"Portabel, Suara Kualitas Tinggi",6
473,Proyektor HD BenQ,BenQ,Proyektor,600000,"Kualitas Gambar Tinggi, Terang",4
474,Speaker Portable Ultimate Ears Megaboom,Ultimate Ears,Speaker,500000,"Portabel, Suara Kualitas Tinggi",5
475,PlayStation VR,Sony,Playstation,700000,"Gaming, Realitas Virtual",3
476,Tenda Camping 6 Orang,Coleman,Tenda,150000,"Nyaman, Mudah Dipasang",7
477,Sepatu Loafers,Gucci,Sepatu,800000,"Elegan, Nyaman",4
478,Matras Angin Tidur King,Simmons,Matras,300000,"Nyaman, Tahan Lama",5
479,Tas Selempang Fossil,Fossil,Tas,400000,"Tahan Lama, Desain Klasik",6
480,Kamera Instax Wide,Fujifilm,Kamera,250000,"Instan, Gaya Retro",6
481,Speaker Bluetooth JBL Boombox,JBL,Speaker,800000,"Portabel, Suara Bass Tinggi",3
482,Proyektor 4K Sony,Sony,Proyektor,1500000,"Kualitas Gambar UHD, Terang",2
483,Speaker Portable Bose SoundLink,Bose,Speaker,550000,"Portabel, Suara Kualitas Tinggi",5
484,PlayStation Move,Sony,Playstation,300000,"Gaming, Pengendalian Gerakan",7
485,Tenda Camping 8 Orang,Coleman,Tenda,180000,"Nyaman, Mudah Dipasang",7
486,Sepatu Running,New Balance,Sepatu,350000,"Nyaman, Dukungan Kaki",6
487,Matras Angin Tidur Queen,Simmons,Matras,350000,"Nyaman, Tahan Lama",4
488,Tas Tote Gucci,Gucci,Tas,1200000,"Mewah, Desain Klasik",3
489,Kamera DSLR Pentax,Pentax,Kamera,400000,"Fotografi, Kualitas Tinggi",6
490,Speaker Bluetooth JBL Xtreme,JBL,Speaker,600000,"Portabel, Suara Bass Tinggi",4
491,Proyektor HD Xiaomi Mi,Xiaomi,Proyektor,450000,"Kualitas Gambar Tinggi, Harga Terjangkau",5
492,Speaker Portable Sony SRS-XB,Sony,Speaker,250000,"Portabel, Suara Bass Tinggi",6
493,PlayStation Slim,Sony,Playstation,400000,"Gaming, Kualitas Grafis Tinggi",5
494,Tenda Camping 10 Orang,Coleman,Tenda,200000,"Nyaman, Mudah Dipasang",6
495,Sepatu Sneakers Reebok,Reebok,Sepatu,200000,"Stylish, Nyaman",7
496,Matras Angin Tidur Single,King Koil,Matras,200000,"Nyaman, Mudah Digunakan",6
497,Tas Selempang Prada,Prada,Tas,900000,"Mewah, Desain Elegan",4
498,Kamera Mirrorless Panasonic,Panasonic,Kamera,500000,"Fotografi, Kualitas Tinggi",5
499,Speaker Bluetooth Ultimate Ears Boom,Ultimate Ears,Speaker,450000,"Portabel, Suara Kualitas Tinggi",6
500,Proyektor Mini HD LG CineBeam,LG,Proyektor,400000,"Portabel, Kualitas Gambar Tinggi",7
501,Kamera DSLR Canon EOS 80D,Canon,Kamera,1200000,"Fotografi, Kualitas Tinggi",4
502,Speaker Bluetooth JBL Flip 5,JBL,Speaker,800000,"Portabel, Suara Bass Tinggi",6
503,Proyektor HD Epson EB-S41,Epson,Proyektor,600000,"Kualitas Gambar Tinggi, Terang",5
504,PlayStation 4 Slim,Sony,Playstation,400000,"Gaming, Kualitas Grafis Tinggi",8
505,Tenda Camping 2 Orang,Coleman,Tenda,100000,"Nyaman, Mudah Dipasang",7
506,Sepatu Sneakers Adidas Superstar,Adidas,Sepatu,600000,"Stylish, Nyaman",8
507,Matras Angin Tidur Single,Bestway,Matras,100000,"Nyaman, Mudah Digunakan",6
508,Tas Selempang Prada,Prada,Tas,1800000,"Mewah, Desain Elegan",4
509,Kamera Mirrorless Sony Alpha A6400,Sony,Kamera,1600000,"Fotografi, Kualitas Tinggi",5
510,Speaker Bluetooth Bose SoundLink Revolve,Bose,Speaker,1200000,"Portabel, Suara Kualitas Tinggi",7
511,Proyektor HD Optoma HD28HDR,Optoma,Proyektor,2500000,"Kualitas Gambar Tinggi, Terang",4
512,PlayStation 5,Sony,Playstation,500000,"Gaming, Kualitas Grafis Tinggi",7
513,Tenda Camping 4 Orang,Coleman,Tenda,150000,"Nyaman, Mudah Dipasang",5
514,Sepatu Sneakers Puma Suede,Puma,Sepatu,400000,"Stylish, Nyaman",7
515,Matras Angin Tidur Double,Bestway,Matras,200000,"Nyaman, Tahan Lama",6
516,Tas Selempang Chanel,Chanel,Tas,2500000,"Mewah, Desain Klasik",4
517,Kamera DSLR Nikon D5600,Nikon,Kamera,800000,"Fotografi, Kualitas Tinggi",4
518,Speaker Bluetooth JBL Go 2,JBL,Speaker,300000,"Portabel, Suara Kualitas Tinggi",7
