ID,Deskripsi Produk,Merek,Kategori,Harga Sewa,Preferensi Pengguna,Jumlah Stok
764,Tas Camping Patagonia Black Hole 32,Patagonia,Tas Camping,1200000,"Tahan Air,Tahan Lama",8
765,Kamera Mirrorless Canon EOS R6,Canon,Camera,12000000,"Fotografi,Kualitas Tinggi",2
766,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3500000,"Portabel,Suara Kualitas Tinggi",5
767,Proyektor HD Epson EH-TW7000,Epson,Proyektor,5000000,"Kualitas Gambar Tinggi, Terang",3
768,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
769,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
770,Sepatu Hiking Columbia Redmond Mid,Columbia,Sepatu,950000,"Nyaman,Tahan Lama",8
771,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",6
772,Tas Camping The North Face Base Camp,TNF,Tas Camping,900000,"Tahan Air,Tahan Lama",7
773,Kamera DSLR Nikon D7500,Nikon,Camera,7500000,"Fotografi,Kualitas Tinggi",3
774,Speaker Bluetooth Harman Kardon Go+Play,Harman Kardon,Speaker,4000000,"Portabel,Suara Bass Tinggi",4
775,Proyektor HD Optoma HD39HDR,Optoma,Proyektor,5500000,"Kualitas Gambar Tinggi, Terang",4
776,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
777,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
778,Sepatu Hiking Merrell Moab 2 Mid,Merrell,Sepatu,1100000,"Nyaman,Tahan Lama",8
779,Matras Angin Tidur Queen,Intex,Matras,300000,"Nyaman,Tahan Lama",6
780,Tas Camping Deuter Aircontact Lite 40+10,Deuter,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
781,Kamera Mirrorless Sony Alpha A7 III,Sony,Camera,10000000,"Fotografi,Kualitas Tinggi",2
782,Speaker Bluetooth JBL Xtreme 2,JBL,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",4
783,Proyektor HD ViewSonic PA503X,ViewSonic,Proyektor,3000000,"Kualitas Gambar Tinggi, Terang",5
784,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
785,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
786,Sepatu Hiking Salomon X Ultra 3 Mid,Salomon,Sepatu,1300000,"Nyaman,Tahan Lama",7
787,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
788,Tas Camping Osprey Stratos 34,Osprey,Tas Camping,1600000,"Tahan Air,Tahan Lama",5
789,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Camera,7000000,"Fotografi,Kualitas Tinggi",3
790,Speaker Bluetooth Marshall Kilburn II,Marshall,Speaker,4000000,"Portabel,Suara Bass Tinggi",3
791,Proyektor HD BenQ MS535A,BenQ,Proyektor,2500000,"Kualitas Gambar Tinggi, Terang",6
792,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
793,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
794,Sepatu Hiking Keen Targhee III Mid,Keen,Sepatu,1200000,"Nyaman,Tahan Lama",7
795,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
796,Tas Camping Patagonia Black Hole 32,Patagonia,Tas Camping,1200000,"Tahan Air,Tahan Lama",8
797,Kamera Mirrorless Canon EOS R6,Canon,Camera,12000000,"Fotografi,Kualitas Tinggi",2
798,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3500000,"Portabel,Suara Kualitas Tinggi",5
799,Proyektor HD Epson EH-TW7000,Epson,Proyektor,5000000,"Kualitas Gambar Tinggi, Terang",3
800,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
801,Kamera DSLR Canon EOS 6D Mark II,Canon,Camera,9000000,"Fotografi,Kualitas Tinggi",3
802,Speaker Bluetooth JBL Flip 5,JBL,Speaker,1500000,"Portabel,Suara Bass Tinggi",5
803,Proyektor HD Optoma HD28HDR,Optoma,Proyektor,4000000,"Kualitas Gambar Tinggi, Terang",4
804,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
805,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
806,Sepatu Running Nike Air Zoom Pegasus 38,Nike,Sepatu,1600000,"Nyaman,Atletik",9
807,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",7
808,Tas Camping Deuter Aircontact Lite 40+10,Deuter,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
809,Kamera Mirrorless Sony Alpha A6400,Sony,Camera,7000000,"Fotografi,Kualitas Tinggi",3
810,Speaker Bluetooth Harman Kardon Onyx Studio 6,Harman Kardon,Speaker,5000000,"Portabel,Suara Kualitas Tinggi",2
811,Proyektor HD BenQ TK800M,BenQ,Proyektor,4500000,"Kualitas Gambar Tinggi, Terang",6
812,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
813,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
814,Sepatu Running Adidas Ultraboost 21,Adidas,Sepatu,1800000,"Nyaman,Atletik",8
815,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
816,Tas Camping The North Face Terra 55,TNF,Tas Camping,1900000,"Tahan Air,Tahan Lama",6
817,Kamera DSLR Nikon D850,Nikon,Camera,12000000,"Fotografi,Kualitas Tinggi",2
818,Speaker Bluetooth Bose SoundLink Revolve,Bose,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",5
819,Proyektor HD Epson EH-TW6700,Epson,Proyektor,5500000,"Kualitas Gambar Tinggi, Terang",4
820,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
821,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
822,Sepatu Running New Balance Fresh Foam 1080 V11,New Balance,Sepatu,1700000,"Nyaman,Atletik",7
823,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
824,Tas Camping Osprey Atmos AG 50,Osprey,Tas Camping,2300000,"Tahan Air,Tahan Lama",6
825,Kamera Mirrorless Fujifilm X-T30,Fujifilm,Camera,6000000,"Fotografi,Kualitas Tinggi",3
826,Speaker Bluetooth Sony SRS-XB33,Sony,Speaker,2500000,"Portabel,Suara Kualitas Tinggi",4
827,Proyektor HD ViewSonic PX701-4K,ViewSonic,Proyektor,6000000,"Kualitas Gambar Tinggi, Terang",5
828,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
829,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
830,Sepatu Running ASICS GEL-Kayano 28,ASICS,Sepatu,1900000,"Nyaman,Atletik",8
831,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",7
832,Tas Camping Black Diamond Creek 35,Black Diamond,Tas Camping,1800000,"Tahan Air,Tahan Lama",5
833,Kamera Mirrorless Canon EOS R5,Canon,Camera,15000000,"Fotografi,Kualitas Tinggi",2
834,Speaker Bluetooth JBL Charge 4,JBL,Speaker,2000000,"Portabel,Suara Bass Tinggi",5
835,Proyektor HD Optoma HD146X,Optoma,Proyektor,3000000,"Kualitas Gambar Tinggi, Terang",6
836,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
837,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
838,Sepatu Running Brooks Ghost 14,Brooks,Sepatu,1600000,"Nyaman,Atletik",9
839,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
840,Tas Camping Deuter Futura Vario 50+10,Deuter,Tas Camping,2100000,"Tahan Air,Tahan Lama",6
841,Kamera Mirrorless Sony Alpha A7S III,Sony,Camera,17000000,"Fotografi,Kualitas Tinggi",3
842,Speaker Bluetooth Ultimate Ears BOOM 3,Ultimate Ears,Speaker,2500000,"Portabel,Suara Kualitas Tinggi",4
843,Proyektor HD BenQ MW526AE,BenQ,Proyektor,2500000,"Kualitas Gambar Tinggi, Terang",6
844,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
845,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
846,Sepatu Running Hoka One One Clifton 8,Hoka One One,Sepatu,1800000,"Nyaman,Atletik",8
847,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
848,Tas Camping Gregory Baltoro 65,Gregory,Tas Camping,2400000,"Tahan Air,Tahan Lama",5
849,Kamera DSLR Nikon D750,Nikon,Camera,10000000,"Fotografi,Kualitas Tinggi",2
850,Speaker Bluetooth Marshall Kilburn II,Marshall,Speaker,3500000,"Portabel,Suara Kualitas Tinggi",5
851,Proyektor HD Epson EH-TW7100,Epson,Proyektor,6000000,"Kualitas Gambar Tinggi, Terang",4
852,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
853,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
854,Sepatu Running Salomon Speedcross 5,Salomon,Sepatu,2000000,"Nyaman,Atletik",7
855,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",7
856,Tas Camping Deuter ACT Lite 40+10,Deuter,Tas Camping,1800000,"Tahan Air,Tahan Lama",5
857,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Camera,8000000,"Fotografi,Kualitas Tinggi",3
858,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",4
859,Proyektor HD ViewSonic PX747-4K,ViewSonic,Proyektor,6500000,"Kualitas Gambar Tinggi, Terang",3
860,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
861,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
862,Sepatu Running Nike Air Zoom Alphafly Next%,Nike,Sepatu,2700000,"Nyaman,Atletik",6
863,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
864,Tas Camping Black Diamond Distance 15,Black Diamond,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
865,Kamera Mirrorless Canon EOS R6,Canon,Camera,10000000,"Fotografi,Kualitas Tinggi",2
866,Speaker Bluetooth JBL Xtreme 3,JBL,Speaker,3000000,"Portabel,Suara Bass Tinggi",5
867,Proyektor HD Optoma HD28HDR,Optoma,Proyektor,4000000,"Kualitas Gambar Tinggi, Terang",4
868,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
869,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
870,Sepatu Running Adidas Adizero Adios 6,Adidas,Sepatu,1800000,"Nyaman,Atletik",8
871,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
872,Tas Camping Deuter Aircontact Lite 40+10,Deuter,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
873,Kamera DSLR Nikon D850,Nikon,Camera,12000000,"Fotografi,Kualitas Tinggi",2
874,Speaker Bluetooth Bose SoundLink Revolve,Bose,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",5
875,Proyektor HD Epson EH-TW6700,Epson,Proyektor,5500000,"Kualitas Gambar Tinggi, Terang",4
876,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
877,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
878,Sepatu Running ASICS GEL-Kayano 28,ASICS,Sepatu,1900000,"Nyaman,Atletik",8
879,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",7
880,Tas Camping The North Face Terra 55,TNF,Tas Camping,1900000,"Tahan Air,Tahan Lama",6
881,Kamera Mirrorless Sony Alpha A7 III,Sony,Camera,9000000,"Fotografi,Kualitas Tinggi",3
882,Speaker Bluetooth JBL Charge 4,JBL,Speaker,2000000,"Portabel,Suara Bass Tinggi",5
883,Proyektor HD Optoma HD146X,Optoma,Proyektor,3000000,"Kualitas Gambar Tinggi, Terang",6
884,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
885,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
886,Sepatu Running Brooks Ghost 14,Brooks,Sepatu,1600000,"Nyaman,Atletik",9
887,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
888,Tas Camping Deuter Futura Vario 50+10,Deuter,Tas Camping,2100000,"Tahan Air,Tahan Lama",6
889,Kamera Mirrorless Sony Alpha A7R IV,Sony,Camera,20000000,"Fotografi,Kualitas Tinggi",2
890,Speaker Bluetooth Ultimate Ears BOOM 3,Ultimate Ears,Speaker,2500000,"Portabel,Suara Kualitas Tinggi",4
891,Proyektor HD BenQ MW526AE,BenQ,Proyektor,2500000,"Kualitas Gambar Tinggi, Terang",6
892,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
893,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
894,Sepatu Running Hoka One One Clifton 8,Hoka One One,Sepatu,1800000,"Nyaman,Atletik",8
895,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
896,Tas Camping Gregory Baltoro 65,Gregory,Tas Camping,2400000,"Tahan Air,Tahan Lama",5
897,Kamera DSLR Nikon D750,Nikon,Camera,10000000,"Fotografi,Kualitas Tinggi",2
898,Speaker Bluetooth Marshall Kilburn II,Marshall,Speaker,3500000,"Portabel,Suara Kualitas Tinggi",5
899,Proyektor HD Epson EH-TW7100,Epson,Proyektor,6000000,"Kualitas Gambar Tinggi, Terang",4
900,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
901,Kamera Mirrorless Canon EOS R6,Canon,Camera,10000000,"Fotografi,Kualitas Tinggi",2
902,Speaker Bluetooth JBL Xtreme 3,JBL,Speaker,3000000,"Portabel,Suara Bass Tinggi",5
903,Proyektor HD Optoma HD28HDR,Optoma,Proyektor,4000000,"Kualitas Gambar Tinggi, Terang",4
904,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
905,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
906,Sepatu Running Adidas Adizero Adios 6,Adidas,Sepatu,1800000,"Nyaman,Atletik",8
907,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
908,Tas Camping Deuter Aircontact Lite 40+10,Deuter,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
909,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Camera,8000000,"Fotografi,Kualitas Tinggi",3
910,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",4
911,Proyektor HD ViewSonic PX747-4K,ViewSonic,Proyektor,6500000,"Kualitas Gambar Tinggi, Terang",3
912,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
913,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
914,Sepatu Running Nike Air Zoom Alphafly Next%,Nike,Sepatu,2700000,"Nyaman,Atletik",6
915,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
916,Tas Camping Black Diamond Distance 15,Black Diamond,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
917,Kamera Mirrorless Canon EOS R6,Canon,Camera,10000000,"Fotografi,Kualitas Tinggi",2
918,Speaker Bluetooth JBL Xtreme 3,JBL,Speaker,3000000,"Portabel,Suara Bass Tinggi",5
919,Proyektor HD Optoma HD146X,Optoma,Proyektor,4000000,"Kualitas Gambar Tinggi, Terang",4
920,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
921,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
922,Sepatu Running ASICS GEL-Kayano 28,ASICS,Sepatu,1900000,"Nyaman,Atletik",8
923,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",7
924,Tas Camping Deuter Futura Vario 50+10,Deuter,Tas Camping,2100000,"Tahan Air,Tahan Lama",6
925,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Camera,8000000,"Fotografi,Kualitas Tinggi",3
926,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",4
927,Proyektor HD Epson EH-TW7100,Epson,Proyektor,6000000,"Kualitas Gambar Tinggi, Terang",4
928,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
929,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
930,Sepatu Running Nike Air Zoom Alphafly Next%,Nike,Sepatu,2700000,"Nyaman,Atletik",6
931,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",7
932,Tas Camping Gregory Baltoro 65,Gregory,Tas Camping,2400000,"Tahan Air,Tahan Lama",5
933,Kamera DSLR Nikon D750,Nikon,Camera,10000000,"Fotografi,Kualitas Tinggi",2
934,Speaker Bluetooth Marshall Kilburn II,Marshall,Speaker,3500000,"Portabel,Suara Kualitas Tinggi",5
935,Proyektor HD Optoma HD28HDR,Optoma,Proyektor,4000000,"Kualitas Gambar Tinggi, Terang",4
936,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
937,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
938,Sepatu Running Adidas Adizero Adios 6,Adidas,Sepatu,1800000,"Nyaman,Atletik",8
939,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
940,Tas Camping Deuter Aircontact Lite 40+10,Deuter,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
941,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Camera,8000000,"Fotografi,Kualitas Tinggi",3
942,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",4
943,Proyektor HD ViewSonic PX747-4K,ViewSonic,Proyektor,6500000,"Kualitas Gambar Tinggi, Terang",3
944,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
945,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
946,Sepatu Running Nike Air Zoom Alphafly Next%,Nike,Sepatu,2700000,"Nyaman,Atletik",6
947,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
948,Tas Camping Black Diamond Distance 15,Black Diamond,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
949,Kamera Mirrorless Canon EOS R6,Canon,Camera,10000000,"Fotografi,Kualitas Tinggi",2
950,Speaker Bluetooth JBL Xtreme 3,JBL,Speaker,3000000,"Portabel,Suara Bass Tinggi",5
951,Proyektor HD Optoma HD146X,Optoma,Proyektor,4000000,"Kualitas Gambar Tinggi, Terang",4
952,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
953,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
954,Sepatu Running ASICS GEL-Kayano 28,ASICS,Sepatu,1900000,"Nyaman,Atletik",8
955,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",7
956,Tas Camping Deuter Futura Vario 50+10,Deuter,Tas Camping,2100000,"Tahan Air,Tahan Lama",6
957,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Camera,8000000,"Fotografi,Kualitas Tinggi",3
958,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",4
959,Proyektor HD Epson EH-TW7100,Epson,Proyektor,6000000,"Kualitas Gambar Tinggi, Terang",4
960,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
961,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
962,Sepatu Running Nike Air Zoom Alphafly Next%,Nike,Sepatu,2700000,"Nyaman,Atletik",6
963,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",7
964,Tas Camping Gregory Baltoro 65,Gregory,Tas Camping,2400000,"Tahan Air,Tahan Lama",5
965,Kamera DSLR Nikon D750,Nikon,Camera,10000000,"Fotografi,Kualitas Tinggi",2
966,Speaker Bluetooth Marshall Kilburn II,Marshall,Speaker,3500000,"Portabel,Suara Kualitas Tinggi",5
967,Proyektor HD Optoma HD28HDR,Optoma,Proyektor,4000000,"Kualitas Gambar Tinggi, Terang",4
968,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
969,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
970,Sepatu Running Adidas Adizero Adios 6,Adidas,Sepatu,1800000,"Nyaman,Atletik",8
971,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
972,Tas Camping Deuter Aircontact Lite 40+10,Deuter,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
973,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Camera,8000000,"Fotografi,Kualitas Tinggi",3
974,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",4
975,Proyektor HD ViewSonic PX747-4K,ViewSonic,Proyektor,6500000,"Kualitas Gambar Tinggi, Terang",3
976,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
977,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
978,Sepatu Running Nike Air Zoom Alphafly Next%,Nike,Sepatu,2700000,"Nyaman,Atletik",6
979,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
980,Tas Camping Black Diamond Distance 15,Black Diamond,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
981,Kamera Mirrorless Canon EOS R6,Canon,Camera,10000000,"Fotografi,Kualitas Tinggi",2
982,Speaker Bluetooth JBL Xtreme 3,JBL,Speaker,3000000,"Portabel,Suara Bass Tinggi",5
983,Proyektor HD Optoma HD146X,Optoma,Proyektor,4000000,"Kualitas Gambar Tinggi, Terang",4
984,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
985,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
986,Sepatu Running ASICS GEL-Kayano 28,ASICS,Sepatu,1900000,"Nyaman,Atletik",8
987,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",7
988,Tas Camping Deuter Futura Vario 50+10,Deuter,Tas Camping,2100000,"Tahan Air,Tahan Lama",6
989,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Camera,8000000,"Fotografi,Kualitas Tinggi",3
990,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",4
991,Proyektor HD Epson EH-TW7100,Epson,Proyektor,6000000,"Kualitas Gambar Tinggi, Terang",4
992,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
993,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
994,Sepatu Running Nike Air Zoom Alphafly Next%,Nike,Sepatu,2700000,"Nyaman,Atletik",6
995,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
996,Tas Camping Deuter Aircontact Lite 40+10,Deuter,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
997,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Camera,8000000,"Fotografi,Kualitas Tinggi",3
998,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",4
999,Proyektor HD ViewSonic PX747-4K,ViewSonic,Proyektor,6500000,"Kualitas Gambar Tinggi, Terang",3
1000,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
